date,max_temp,rain_sum,is_heavy_rain,is_hot_day
2025-01-01,28.5,0.0,0,0
2025-01-02,30.6,0.3,0,0
2025-01-03,30.5,0.8,0,0
2025-01-04,31.7,0.2,0,0
2025-01-05,33.1,0.0,0,0
2025-01-06,32.4,0.0,0,0
2025-01-07,32.5,0.0,0,0
2025-01-08,33.1,0.0,0,0
2025-01-09,32.6,0.0,0,0
2025-01-10,33.6,0.0,0,0
2025-01-11,33.0,0.0,0,0
2025-01-12,31.8,0.0,0,0
2025-01-13,31.0,0.0,0,0
2025-01-14,34.0,9.5,0,0
2025-01-15,31.0,5.3,0,0
2025-01-16,31.2,0.7,0,0
2025-01-17,30.4,0.0,0,0
2025-01-18,31.0,0.0,0,0
2025-01-19,31.8,0.0,0,0
2025-01-20,31.8,0.0,0,0
2025-01-21,32.8,0.0,0,0
2025-01-22,34.0,0.0,0,0
2025-01-23,34.2,0.0,0,0
2025-01-24,34.8,0.3,0,0
2025-01-25,34.3,0.0,0,0
2025-01-26,34.0,0.4,0,0
2025-01-27,32.6,0.0,0,0
2025-01-28,32.8,0.0,0,0
2025-01-29,31.9,0.0,0,0
2025-01-30,30.6,0.0,0,0
2025-01-31,32.8,0.0,0,0
2025-02-01,33.8,0.0,0,0
2025-02-02,34.6,0.0,0,0
2025-02-03,34.6,0.0,0,0
2025-02-04,34.3,0.0,0,0
2025-02-05,34.0,0.0,0,0
2025-02-06,33.2,0.0,0,0
2025-02-07,33.8,0.0,0,0
2025-02-08,34.7,0.0,0,0
2025-02-09,33.0,0.0,0,0
2025-02-10,33.4,0.0,0,0
2025-02-11,34.4,7.6,0,0
2025-02-12,32.6,6.7,0,0
2025-02-13,31.0,4.7,0,0
2025-02-14,31.6,5.2,0,0
2025-02-15,31.8,2.4,0,0
2025-02-16,32.6,0.6,0,0
2025-02-17,33.0,0.2,0,0
2025-02-18,34.0,1.2,0,0
2025-02-19,33.7,11.8,1,0
2025-02-20,34.2,0.3,0,0
2025-02-21,33.8,2.2,0,0
2025-02-22,31.8,1.7,0,0
2025-02-23,31.5,1.5,0,0
2025-02-24,32.7,0.2,0,0
2025-02-25,32.2,0.2,0,0
2025-02-26,34.2,0.1,0,0
2025-02-27,35.2,0.0,0,1
2025-02-28,35.9,0.0,0,1
2025-03-01,36.3,0.0,0,1
2025-03-02,34.9,0.0,0,0
2025-03-03,35.6,0.0,0,1
2025-03-04,35.5,0.0,0,1
2025-03-05,36.0,0.0,0,1
2025-03-06,35.0,0.6,0,0
2025-03-07,35.7,0.8,0,1
2025-03-08,35.2,0.9,0,1
2025-03-09,32.1,0.9,0,0
2025-03-10,35.2,6.2,0,1
2025-03-11,36.3,0.0,0,1
2025-03-12,36.6,1.0,0,1
2025-03-13,35.8,0.0,0,1
2025-03-14,36.5,0.0,0,1
2025-03-15,36.4,0.0,0,1
2025-03-16,35.2,1.6,0,1
2025-03-17,35.5,8.2,0,1
2025-03-18,35.2,1.1,0,1
2025-03-19,36.2,0.0,0,1
2025-03-20,35.7,0.0,0,1
2025-03-21,36.2,0.0,0,1
2025-03-22,36.0,0.0,0,1
2025-03-23,35.5,0.0,0,1
2025-03-24,36.5,0.0,0,1
2025-03-25,33.0,0.0,0,0
2025-03-26,34.2,0.0,0,0
2025-03-27,35.3,0.0,0,1
2025-03-28,34.8,0.1,0,0
2025-03-29,35.7,0.4,0,1
2025-03-30,37.0,2.1,0,1
2025-03-31,33.6,2.9,0,0
2025-04-01,32.5,21.0,1,0
2025-04-02,29.3,0.8,0,0
2025-04-03,32.9,0.1,0,0
2025-04-04,33.5,0.0,0,0
2025-04-05,33.6,0.0,0,0
2025-04-06,33.8,0.0,0,0
2025-04-07,36.1,0.0,0,1
2025-04-08,35.4,0.1,0,1
2025-04-09,35.8,1.3,0,1
2025-04-10,35.7,1.3,0,1
2025-04-11,34.3,1.0,0,0
2025-04-12,35.5,0.4,0,1
2025-04-13,36.3,1.7,0,1
2025-04-14,36.5,4.7,0,1
2025-04-15,35.5,1.7,0,1
2025-04-16,35.6,1.8,0,1
2025-04-17,36.3,1.7,0,1
2025-04-18,36.0,1.6,0,1
2025-04-19,35.9,0.4,0,1
2025-04-20,36.7,0.0,0,1
2025-04-21,35.7,1.9,0,1
2025-04-22,33.2,3.9,0,0
2025-04-23,35.8,2.8,0,1
2025-04-24,34.9,4.5,0,0
2025-04-25,34.7,3.0,0,0
2025-04-26,34.0,15.2,1,0
2025-04-27,34.0,0.0,0,0
2025-04-28,36.1,0.0,0,1
2025-04-29,36.7,0.1,0,1
2025-04-30,36.8,0.0,0,1
2025-05-01,36.0,2.5,0,1
2025-05-02,34.9,3.2,0,0
2025-05-03,32.0,7.6,0,0
2025-05-04,33.2,1.1,0,0
2025-05-05,33.5,0.9,0,0
2025-05-06,34.5,3.7,0,0
2025-05-07,35.3,3.7,0,1
2025-05-08,37.3,0.4,0,1
2025-05-09,37.2,1.4,0,1
2025-05-10,30.2,8.0,0,0
2025-05-11,32.8,10.5,1,0
2025-05-12,32.3,7.5,0,0
2025-05-13,32.8,7.7,0,0
2025-05-14,33.3,5.9,0,0
2025-05-15,32.2,12.1,1,0
2025-05-16,33.2,5.7,0,0
2025-05-17,32.3,3.3,0,0
2025-05-18,33.7,1.4,0,0
2025-05-19,32.8,14.1,1,0
2025-05-20,32.0,1.2,0,0
2025-05-21,33.3,12.0,1,0
2025-05-22,31.8,32.0,1,0
2025-05-23,31.6,9.9,0,0
2025-05-24,30.6,17.7,1,0
2025-05-25,31.1,19.0,1,0
2025-05-26,32.7,6.0,0,0
2025-05-27,32.7,25.0,1,0
2025-05-28,32.7,25.9,1,0
2025-05-29,32.9,24.9,1,0
2025-05-30,32.3,21.0,1,0
2025-05-31,32.9,10.4,1,0
2025-06-01,33.7,1.0,0,0
2025-06-02,31.2,2.0,0,0
2025-06-03,30.5,5.9,0,0
2025-06-04,32.7,6.5,0,0
2025-06-05,32.7,2.5,0,0
2025-06-06,32.8,18.3,1,0
2025-06-07,30.0,23.4,1,0
2025-06-08,29.7,24.4,1,0
2025-06-09,32.0,20.8,1,0
2025-06-10,31.1,18.1,1,0
2025-06-11,29.8,13.0,1,0
2025-06-12,30.2,3.3,0,0
2025-06-13,30.6,10.2,1,0
2025-06-14,32.0,19.2,1,0
2025-06-15,32.9,6.0,0,0
2025-06-16,32.9,10.6,1,0
2025-06-17,33.0,15.1,1,0
2025-06-18,32.4,8.1,0,0
2025-06-19,32.5,8.2,0,0
2025-06-20,32.2,15.2,1,0
2025-06-21,31.7,3.0,0,0
2025-06-22,30.6,11.7,1,0
2025-06-23,31.8,2.0,0,0
2025-06-24,31.9,11.1,1,0
2025-06-25,31.2,19.1,1,0
2025-06-26,29.8,26.0,1,0
2025-06-27,31.1,13.0,1,0
2025-06-28,31.0,19.8,1,0
2025-06-29,31.6,5.9,0,0
2025-06-30,32.9,0.9,0,0
2025-07-01,30.9,16.7,1,0
2025-07-02,31.0,21.0,1,0
2025-07-03,32.1,10.6,1,0
2025-07-04,31.9,2.4,0,0
2025-07-05,32.4,9.9,0,0
2025-07-06,31.2,10.4,1,0
2025-07-07,31.1,16.0,1,0
2025-07-08,31.1,15.0,1,0
2025-07-09,30.4,25.4,1,0
2025-07-10,32.2,6.3,0,0
2025-07-11,31.8,6.5,0,0
2025-07-12,31.9,18.1,1,0
2025-07-13,31.6,7.8,0,0
2025-07-14,31.4,19.8,1,0
2025-07-15,30.8,15.7,1,0
2025-07-16,30.6,11.1,1,0
2025-07-17,28.7,15.1,1,0
2025-07-18,30.0,11.0,1,0
2025-07-19,31.8,12.1,1,0
2025-07-20,29.9,3.4,0,0
2025-07-21,31.0,5.4,0,0
2025-07-22,32.5,2.0,0,0
2025-07-23,31.4,18.4,1,0
2025-07-24,33.0,0.0,0,0
2025-07-25,33.2,4.0,0,0
2025-07-26,32.8,1.1,0,0
2025-07-27,31.1,15.9,1,0
2025-07-28,30.0,3.6,0,0
2025-07-29,30.8,14.7,1,0
2025-07-30,32.2,0.3,0,0
2025-07-31,32.3,11.5,1,0
2025-08-01,32.3,0.8,0,0
2025-08-02,32.5,1.7,0,0
2025-08-03,33.4,3.2,0,0
2025-08-04,33.7,9.0,0,0
2025-08-05,33.2,4.8,0,0
2025-08-06,32.8,7.6,0,0
2025-08-07,33.2,1.7,0,0
2025-08-08,33.7,6.8,0,0
2025-08-09,32.5,27.9,1,0
2025-08-10,32.8,7.8,0,0
2025-08-11,31.5,13.5,1,0
2025-08-12,31.4,4.4,0,0
2025-08-13,31.0,17.1,1,0
2025-08-14,32.0,35.1,1,0
2025-08-15,31.0,17.5,1,0
2025-08-16,29.1,28.8,1,0
2025-08-17,30.1,17.0,1,0
2025-08-18,31.6,0.6,0,0
2025-08-19,32.1,3.0,0,0
2025-08-20,33.0,28.5,1,0
2025-08-21,27.9,45.9,1,0
2025-08-22,30.9,4.8,0,0
2025-08-23,30.7,11.6,1,0
2025-08-24,31.1,15.5,1,0
2025-08-25,28.9,13.7,1,0
2025-08-26,29.1,4.8,0,0
2025-08-27,30.6,11.4,1,0
2025-08-28,32.0,29.7,1,0
2025-08-29,31.7,34.7,1,0
2025-08-30,31.0,8.2,0,0
2025-08-31,32.0,23.5,1,0
2025-09-01,30.8,7.2,0,0
2025-09-02,29.8,44.4,1,0
2025-09-03,30.4,12.7,1,0
2025-09-04,31.2,15.4,1,0
2025-09-05,31.7,25.6,1,0
2025-09-06,31.9,24.6,1,0
2025-09-07,28.8,40.3,1,0
2025-09-08,31.5,13.4,1,0
2025-09-09,30.8,10.9,1,0
2025-09-10,31.8,6.6,0,0
2025-09-11,32.2,5.5,0,0
2025-09-12,31.2,12.0,1,0
2025-09-13,30.0,6.4,0,0
2025-09-14,29.9,21.1,1,0
2025-09-15,31.8,12.4,1,0
2025-09-16,30.5,11.7,1,0
2025-09-17,31.9,17.0,1,0
2025-09-18,31.8,14.6,1,0
2025-09-19,31.4,12.9,1,0
2025-09-20,32.8,5.1,0,0
2025-09-21,31.5,20.9,1,0
2025-09-22,27.3,17.6,1,0
2025-09-23,29.5,2.6,0,0
2025-09-24,31.5,1.9,0,0
2025-09-25,31.4,15.1,1,0
2025-09-26,30.0,15.6,1,0
2025-09-27,30.1,14.1,1,0
2025-09-28,30.5,14.2,1,0
2025-09-29,29.6,20.6,1,0
2025-09-30,30.0,8.6,0,0
2025-10-01,31.5,7.8,0,0
2025-10-02,31.6,0.0,0,0
2025-10-03,31.0,13.0,1,0
2025-10-04,32.4,5.9,0,0
2025-10-05,31.5,2.0,0,0
2025-10-06,32.9,10.9,1,0
2025-10-07,32.5,3.7,0,0
2025-10-08,32.0,24.4,1,0
2025-10-09,31.0,3.2,0,0
2025-10-10,30.0,5.9,0,0
2025-10-11,30.2,18.0,1,0
2025-10-12,31.1,9.6,0,0
2025-10-13,30.3,20.1,1,0
2025-10-14,31.1,11.9,1,0
2025-10-15,32.8,9.4,0,0
2025-10-16,32.2,0.7,0,0
2025-10-17,32.7,4.8,0,0
2025-10-18,31.9,5.5,0,0
2025-10-19,32.9,0.3,0,0
2025-10-20,33.2,12.0,1,0
2025-10-21,32.2,8.5,0,0
2025-10-22,32.1,10.8,1,0
2025-10-23,31.4,4.6,0,0
2025-10-24,32.0,17.9,1,0
2025-10-25,29.0,2.2,0,0
2025-10-26,30.5,10.6,1,0
2025-10-27,30.4,4.0,0,0
2025-10-28,29.8,35.4,1,0
2025-10-29,29.2,6.9,0,0
2025-10-30,28.5,4.4,0,0
2025-10-31,30.8,9.4,0,0
2025-11-01,30.6,32.0,1,0
2025-11-02,31.2,6.8,0,0
2025-11-03,28.7,19.3,1,0
2025-11-04,30.8,15.1,1,0
2025-11-05,29.9,8.7,0,0
2025-11-06,28.5,9.1,0,0
2025-11-07,31.2,8.9,0,0
2025-11-08,31.0,5.3,0,0
2025-11-09,31.5,9.8,0,0
2025-11-10,31.6,2.0,0,0
2025-11-11,31.5,3.8,0,0
2025-11-12,30.4,7.1,0,0
2025-11-13,31.8,9.1,0,0
2025-11-14,31.6,0.2,0,0
